a,একটি
wayward,নিরঙ্কুশ
waywardness,উদ্দামতা
wayworn,পথশ্রান্ত
wb,একটি বৃহৎ আমেরিকান ফিল্ম এবং টেলিভিশন কোম্পানী
we,আমরা
weak,দুর্বল
weak eyes,দৃষ্টিক্ষীণতা
weak knees,সংকল্পের অভাব
weak side,ত্রুটি
weak-eyed,ক্ষীণদৃষ্টি
weak-headed,অল্পবুদ্ধি
weak-hearted,কোমলহৃদয়
weak-minded,অল্পবুদ্ধি
weaken,দুর্বল করা
weakened,নির্বল
weakener,কৌশল
weakening,বলক্ষয়কর
weakens,দুর্বল
weaker,দুর্বল
weaker sex,স্ত্রীজাতি
weaker vessel,মেয়েমানুষ
weakest,দুর্বলতম
weaklier,হীনশক্তি
weakliest,হীনশক্তি
weakling,কেবলরাম
weaklings,ভীরু ব্যক্তি
weakly,স্বাস্থ্যহীন
weakness,দুর্বলতা
weaknesses,দুর্বলতা
weal,মঙ্গল
weal and woe,আনন্দ বিষাদ
weald,অরণ্যময় পল্লী
wealds,অরণ্যময় পল্লী
weals,ভাল
wealth,সম্পদ
wealthier,ধনী
wealthiest,ধনবান
wealths,সম্পদ
wealthy,ধনী
wean,মাই ছাড়ান
weaned,মাই ছাড়ান
weaner,সদ্য মাই ছাড়নো পশুশাবক
weaning,দুধ পান করাতে
weanling,যে শিশুকে সম্প্রতি মাই ছাড়ানো হইয়াছে
weans,মাই ছাড়ান
weapon,অস্ত্র
weaponed,অস্ত্র
weaponing,অস্ত্র
weaponise,গণজাগরণ মঞ্চ
weaponless,অস্ত্রহীন
weaponlessness,অস্ত্রহীনতা
weaponry,অস্ত্রসম্ভার
weapons,অস্ত্রশস্ত্র
wear,পরিধান করা
wear and tear,ক্ষয় ক্ষতি
wear away,শুকাইয়া যাত্তয়া
wear down,পরাস্ত করা
wearable,পরিধেয়
weared,পরা
wearer,যে পরিধান করে
wearied,ক্লিষ্ট
wearier,মানুষ বানাতে
wearies,আকুল আকাঙ্ক্ষা অনুভব
weariest,ক্লান্ত
weariful,অচেতন
weariless,অধ্যবসায়
wearily,ক্লান্তভাবে
weariness,শ্রান্তি
wearing,পরা
wearing an amulet,কবচা
wearings,ধৃতি
wearisome,ক্লান্তিকর
wears,পরেন
weary,ক্লান্ত
wearying,শ্রান্ত করা
weasand,কণ্ঠনালী
weasands,অন্ননালী
weasel,বেজি
weasels,বেজি
weather,আবহাওয়া
weather-beaten,তন্মধ্যে থাকার ফলে পোক্ত
weather-glass,বায়ুমান যন্ত্র
weather-proof,জলবায়ু প্রতিরোধী
weathercock,বায়ুনির্দেশক
weathercocks,বায়ুনির্দেশক
weathered,তন্মধ্যে থাকার ফলে পোক্ত
weatherer,আবহাওয়া
weatherglass,আবহমানযন্ত্র
weatherglasses,আবহমানযন্ত্র
weathering,তুষারপাত
weatherizing,হাউমাউ
weatherman,সাংকেতিক মানচিত্র
weathers,আবহ
weave,বুনা
weaved,বুনা
weaver,পটকার
weavers,পটকার
weaves,সুতোকে
weaving,বয়ন
weavings,বয়ন
web,ওয়েব
web space,ওয়েব স্পেস
web-footed,লিপ্তপাদ
webbed,লিপ্তপদাঙ্গুলি
webbing,বয়ন - করা বস্ত্ু
webbings,বয়ন-করা বস্ত্ু
webcam,ওয়েবক্যাম
webcams,ওয়েবক্যাম
webcast,ওয়েবকাস্ট
webcasts,তথ্যও
weber,ওয়েবার
weblog,ওয়েব্লগ
weblogs,ওয়েবলগ
webmail,ওয়েবমেইল
webmaster,ওয়েবমাস্টার
webmasters,ওয়েবমাস্টাররা
webpage,ওয়েবপেজ
webpages,ওয়েব পেজ
webs,ওয়েবে
website,ওয়েবসাইট
websites,ওয়েবসাইট
webster,কারার
wed,বিবাহ করা
wedded,পরিণীত
wedding,বিবাহ
wedding day,বিবাহ
weddings,বিবাহ
wedge,কীলক
wedge-shaped,কীলকাকার
wedged,ভিতরে প্রবেশ
wedges,কীলক
wedgewood,একপ্রকার উন্নত ধরনের মৃণ্ময় পাত্র
wedging,আঁটো করা
wedlock,দাম্পত্য
wedlocks,বিবাহ
wednesday,বুধবার
weds,বিবাহ করা
wee,পুঁচকে
weed,আগাছা
weed out,নিড়ান
weeded,আগাছামুক্ত
weeder,উইডার
weeders,উইডার
weedier,আগাছাপূর্ণ
weediest,আগাছাপূর্ণ
weeding,নিড়ানি
weeding tool,নিড়ানি
weedings,আগাছা নিড়ান
weedless,আগাছাশূন্য
weeds,আগাছা
weedy,অকর্মণ্য
week,সপ্তাহ
week-long,সপ্তাহ ব্যাপী
weekday,কাজের দিন
weekdays,কাজের দিন
weekend,সপ্তাহান্তিক কাল
weekends,সপ্তাহান্তে
weeklies,সাপ্তাহিক সংবাদপত্র
weekly,সাপ্তাহিক
weeknights,উইকনাইটস
weeks,সপ্তাহ
weem,সুইজারল্যান্ড
ween,মনে করা
weened,ভাবা
weenie,যাহারা
weenier,অতি ক্ষুদ্র
weeniest,অতি ক্ষুদ্র
weening,ভাবা
weens,ভাবা
weeny,খুব ছোট
weep,ক্রঁদন
weeper,ভাড়াটে শোককারী
weepers,ভাড়াটে শোককারী
weepier,রোদনশীল
weepiest,রোদনশীল
weeping,কান্দা
weepings,ক্রন্দন
weeps,কান্দা
weepy,ক্রন্দনরত
weer,পুঁচকে
wees,আমরা
weest,পুঁচকে
weet,জানেন যে
weevil,শক্ত খোলাযুক্ত ছোট গুবরে পোকাবিশেষ
weft,পড়েন
wefts,পড়েন
wehrmacht,সৈন্যবাহিনী
weigh,তৌল করা
weigh anchor,নোঙর তোলা
weigh up,মূল্যায়ন করা
weighable,তৌলযোগ্য
weighbridge,শুধু ওয়েব্রীজে
weighed,তুলিত
weigher,কয়াল
weighers,কয়াল
weighing,ঝাঁকনি
weighing machine,তৌলযন্ত্র
weighings,ঝাঁকনি
weighman,কয়াল
weighmen,কয়াল
weighs,তৌল করা
weight,ওজন
weighted,ভরযুক্ত
weighter,ওজন
weightier,গুরুতর
weightiest,গুরুতম
weighting,তৌল
weightings,করণের
weightless,প্রভাবহীন
weightlessness,গুরুত্বহীনতা
weightlifting,ভারোত্তোলন
weights,ওজন
weighty,ভারী
weir,গড়া
weird,অদ্ভুত
weird sisters,ভাগ্যদেবীত্রয়
weirded,আছ? কতদিন লেখো
weirder,অদ্ভুত
weirdest,বিচিত্র
weirdie,বাতিকগ্রস্ত লোক
weirdies,বাতিকগ্রস্ত লোক
weirding,অদ্ভুত
weirdly,অতিপ্রাকৃত
weirdo,বিদঘুটে লোক
weirdoes,বাতিকগ্রস্ত লোক
weirdos,বাতিকগ্রস্ত লোক
weirds,ডাকিনীত্রয়
weirdy,বাতিকগ্রস্ত লোক
weirs,নদীবক্ষস্থ বাঁধ
weismannism,অর্জিত চারিত্রিক বৈশিষ্ট্যসমূহ বংশানুক্রমিকভাবে পাত্রান্তিত হয় না
weka,ওয়েকা
welch,ঘোড়দৌড়ে বাজিয়া টাকা না দিয়া পলায়ন করা
welcome,স্বাগত
welcome and worship,অভিবন্দনা
welcomed,স্বাগত
welcomer,বরয়িতা
welcomers,বরয়িতা
welcomes,স্বাগত
welcoming,স্বাগত
weld,জোড়
weldability,একত্রে সংযুক্ত করা
weldable,ওয়েল্ড করার উপযোগী
welded,ঝালাই
welder,ঢালাইকর
welders,ঢালাইকর
welding,ঢালাই
weldings,ঢালাই
welds,দৃঢ়ভাবে সংযুক্ত করা
welfare,কল্যাণ
welfares,কল্যাণ
welk,উৎপাদিত ফলের
welkin,আকাশ
well,ভাল
well affected,প্রসন্ন
well and good,বেশ ভাল কথা
well and truly,একেবারে
well day,হায়
well equipped,সুসজ্জিত
well lined purse,"স্ফীত টাকার থলে 
well off,সৌভাগ্যবান
well oiled,মদে চুর
well to do,স্বচ্ছল
well up,সুপণ্ডিত
well upholstered,মোটা
well-acquainted,সুপরিচিত
well-affected,অনুগত
well-appointed,সুসজ্জিত
well-appreciated,আদৃত
well-arranged,সুবিন্যস্ত
well-behaved,শিষ্ট
well-being,ক্ষেম
well-born,জাত্য
well-bred,সুশিক্ষিত
well-built,সুগঠিত
well-conditioned,সুস্থিত
well-conducted,শিষ্ট
well-connected,সুসম্বদ্ধ
well-controlled,সুনিয়ন্ত্রিত
well-decorated,সুসজ্জিত
well-disposed,বন্ধুভাবাপন্ন
well-doer,উপকারী ব্যক্তি
well-done,বাহবা
well-dressed,সুসজ্জিত
well-established,নিষ্ঠ
well-experienced,ঘুণ
well-experiencedness,প্রবীণা
well-favored,সুদর্শন
well-favoured,সুদর্শন
well-fed,হৃষ্টপুষ্ট
well-found,সুসজ্জিত
well-groomed,সযত্নে লালিত
well-known,খ্যাতনামা
well-made,সুসংস্কৃত
well-mannered,আচারনিষ্ঠ
well-nigh,সন্নিকটে
well-off,ধনী
well-ordered,সুবিন্যস্ত
well-organized,সুগঠিত
well-performed,সুসম্পন্ন
well-placed,নিষ্ঠ
well-planned,সুচিন্তিত
well-pronounced,যথাপ্রয়োজন শব্দযুক্ত
well-proportioned,সুষম
well-read,সুপণ্ডিত
well-received,আদৃত
well-regarded,সন্মানিত
well-regulated,নিয়মনিষ্ঠ
well-set,সুপ্রতিষ্ঠিত
well-shaped,সুঠাম
well-spoken,সুভাষী
well-thought,সুচিন্তিত
well-timed,সময়োপযোগী
well-to-do,বেশ
well-wisher,হিতাকাঙ্ক্ষী
well-wishing,শুভাকাঙ্ক্ষী
well!,আচ্ছা বেশ!
welladay,হায়
welled,উত্সারিত
welled-up,উচ্ছ্বসিত
weller,বেশ
wellhead,উৎস
welling,ভূমি হইতে নি:সৃত হত্তয়া
wellington,ওয়েলিংটন
wellingtons,অশ্বারোহণকালে পরিধেয় বুটজুতা
wellness,অনাময
wellnight,কাছাকাছি
wells,ওয়েলস
wellspring,ভাল বসন্ত
welsh,ত্তয়েল্স্দেশসম্বন্ধীয়
welsher,বাজিতে হেরে গিয়ে যে লোক টানা না দিয়ে চম্পটদেয়
welshes,ত্তএল্স্ - জাতি
welt,চাবকান
weltanschauung,জীবনবেদ
weltanschauungs,জীবনবেদ
welted,চাবকান
welter,বিশৃঙ্খলা
weltered,গড়াগড়ি খাত্তয়া
weltering,গড়াগড়ি
welters,গড়াগড়ি খাত্তয়া
welterweight,ত্তজনবিশেষ
welterweights,ত্তজনবিশেষ
welting,চাবকান
welts,চাবকান
wen,আব
wench,বালিকা
wenches,তরূণী
wend,পথ চলা
wended,পথ ধরা
wending,পথ ধরা
wends,পথ ধরা
went,গিয়েছিলাম
wept,কেঁদেছিলেন
were,ছিল
werewolf,নেকড়ে বাঘে পরিণত মানুষ
werewolves,ওয়্যারউলভস
werwolf,নেকড়ে বাঘে পরিণত মানুষ
west,পশ্চিম
westbengal,পশ্চিমবঙ্গ
wested,পশ্চিম
wester,পশ্চিম
westerlies,পশ্চিমি ঝঞ্ঝা
westerly,পশ্চিমে
westermost,সর্বাধিধক পশ্চিমস্থ
western,পশ্চিমা
western-educated,পাশ্চাত্য-শিক্ষিত
western-style,পাশ্চাত্যরীতি
westerner,পাশ্চাত্ত্যদেশবাসী
westerners,পশ্চিমাদের
westernisation,ব্যথার
westernise,পশ্চিমা
westernised,Westernized
westernization,পশ্চিমায়ন
westernize,পাশ্চাত্ত্য সভ্যতার প্রবর্তন করা
westernizing,জানানোসহ
westernmost,পশ্চিম প্রান্তস্থ
westerns,পশ্চিমারা
westing,পশ্চিমদিকে প্রস্থান
westings,পশ্চিমদিক্স্থ বিস্তার
westminster,ওয়েস্টমিনিস্টার
wests,অস্তাচলের
westward,পশ্চিমাভিমুখ
westwardly,পশ্চিমাভিমুখে
westwards,পশ্চিমাভিমুখে
wet,ভিজা
wet behind the ears,কাঁচা
wet one's whistle,মাল টানা
wet thoroughly,জাবড়ান
wet-nurse,যে ধাত্রী শিশুকে মায়ের বদলে স্তন্য দেয়
wether,খাসি - করা ভেড়া
wethers,ছিন্নমুষ্ক মেষ
wetland,জলাভূমি
wetlands,জলাভূমি
wetless,আর্দ্রতা
wetness,আর্দ্রতা
wetnesses,আর্দ্রতা
wets,সিক্ত করা
wettable,সিক্ত করা যায় এমন
wetted,আর্দ্র
wetter,বিচারে তুলনামূলকভাবে বেশি আর্দ্র
wettest,ভিজা
wetting,ভেজানো
wettish,ষৎ সিক্ত
wey,গোপনীয়তা
whack,অংশ
whacked,পরিশ্রান্ত
whacker,বিরাট ধাপ্পা
whackier,সেমিনারে যোগ
whackiest,পাগলাটে
whacking,মস্ত
whacks,অংশ
whacky,খেপাটে
whale,তিমি
whale fisher,তিমিশিকারী
whale fishery,তিমিশিকার
whale fishing,তিমিশিকার
whale oil,তিমিতৈল
whalebone,কাঁচকড়া
whalebones,কাঁচকড়া
whaled,তিমি
whaleman,তিমিশিকারী
whalemen,তিমিশিকারী
whaler,তিমিব্যবসায়ী
whalers,তিমিশিকারী
whales,তিমি
whaling,তিমিশিকার
whalings,তিমিশিকার
whang,সপাং - শব্দ
whanged,সপাং-শব্দ করা
whangee,কার্মুক
whangees,কার্মুক
whanging,সপাং-শব্দ করা
whangs,সপাং-শব্দ করা
wharf,ঘাট
wharfage,জেটি সকল
wharfinger,পাটনী
wharfingers,ঘাটোয়াল
wharfs,জেটি
whart,ঘাট
wharves,ঘাটা
what,কি
what do you,আপনি কি করবেন
what for,কি জন্য
what is more,উপরন্তু
what not,আরও কত কি
whata,কথাবার্তা বলার চেষ্টা
whatever,যতসামান্য
whatness,বস্তুপরিচয়
whatnesses,বস্তুপরিচয়
whatnot,যে কোন বস্তু
whatnots,যে কোন বস্তু
whats,কি
whatshername,আইনি অধিকার রয়েছে
whatsoever,সবটা
wheat,গম
wheat-flour,গমের আটা
wheatear,গমের শীষ
wheatears,গমের শীষ
wheaten,গোধূমবর্ণ
wheats,গম
whee,প্রচার এবং ঘটনা
wheedle,প্রতারিত করা
wheedled,মিষ্ট কথায় ভুলান
wheedler,মিষ্টি কথায় ভোলানো ব্যক্তি
wheedles,মিষ্ট কথায় ভুলান
wheedling,ভুলান
wheel,চাকা
wheel of events,ঘটনাচক্র
wheel-chair,অসুস্থ লোকদের বহিবার নিমিত্ত চাকাওয়ালা চেয়ারবিশেষ..
wheel-shaped,চক্রাকার
wheelbarrow,ঠেলাগাড়ি
wheelbarrows,ঠেলাগাড়ি
wheelchair,চাকাত্তয়ালা চেয়ারবিশেষ
wheelchairs,হুইলচেয়ার
wheeled,চাকাযুক্ত
wheeler,যে ব্যক্তি চাকা ঘুরায়
wheelers,চক্র
wheeling,ঘোরান
wheelless,নিশ্চক্র
wheelman,সাইকেল - চালক
wheels,কায়দা
wheelwright,চাকা ও চাকাওয়ালা গাড়ির প্রস্তুতকারক
wheeze,সাঁসাঁ করিয়া নিঃশ্বাস ফেলা
wheezed,মীমাংসা করিতে পারিলেন
wheezes,হুইজেস
wheezing,পর্যন্ত ঘটাতে
whelk,মুখের ব্রণ
whelm,অভিভূত করা
whelmed,অভিভূত করা
whelming,ঘড়ি এবং রেকর্ড
whelms,অভিভূত করা
whelp,প্রসব করা
whelped,প্রসব করা
whelping,প্রসব করা
whelps,প্রসব করা
when,যখন
whence,কিরূপ
whencesoever,যে কোন স্থান বা কারণ বা মূল হইতে
whene'er,যে কোন সময়ে
whenever,যখনই
whens,ওই লোকটা
whensoever,যখনই
where,যেখানে
whereabout,উদ্দেশ
whereabouts,হদিস
whereafter,আবি শায়বা
whereas,যেহেতু
whereat,যাহাতে
whereby,যদ্দ্বারা
wherefore,কেন
wherefores,একাকিত্বের
wherefrom,কি হইতে
wherein,যাহাতে
whereinto,যেথায়
whereof,কিসের
whereon,যাহাতে
wheres,কোথায়
wheresoever,যে কোনও স্থানে
whereto,কোথায়
whereunder,এ মিশনে
whereupon,যাহার ফলে
wherever,যেখানেই
wherewith,যাহার সহিত
wherewithal,পন্থা
wherewithals,পন্থা
wherries,একপ্রকার ভিঙ্গিনৌকা
wherry,একপ্রকার ভিঙ্গিনৌকা
wherryman,পানসির মাঝি
whet,ধার
whether,কিনা
whets,তীক্ষ্ন করা
whetstone,শান
whetstones,শাণপাথর
whetted,শাণিত
whetter,শাণত্তয়ালা
whetters,শাণত্তয়ালা
whetting,নিকষ
whey,ঘোল
whey-faced,বিবর্ণ
which,যেটি
whichever,যেটা
whiff,ফুঁ
whiffle,বাজে বকা
whiffled,বাজে বকা
whiffles,বাজে বকা
whiffling,বাজে বকা
whiffs,ফুঁ
whig,ইংলণ্ডের রাজনৈতিক দলবিশেষ
whiggamore,এন্ড্রয়েড এবং প্রথম মোবাইল
while,যখন
whiled,যাপন করা
whiles,যাপন করা
whiling,যাপন করা
whilom,স্বাধীন বাংলাদেশেও বিরানব্বইতে
whilst,যতক্ষণ না
whim,বাতিক
whimmed,ঝোঁক
whimming,ঝোঁক
whimper,ঘ্যানঘ্যান
whimpered,"শোনো
whimpering,ঘেনঘেনানি
whimperings,ঘেনঘেন
whimpers,একদল
whims,বাতিক
whimsey,খেয়াল
whimsical,কিম্ভূতকিমাকার
whimsicality,খামখেয়ালী ভাব
whimsically,খেয়ালখুশিমত
whimsies,আকস্মিক ধারণা
whimsy,বাতিক
whine,ঘ্যানঘ্যান করা
whined,ঘ্যানঘ্যান করা
whines,ঘ্যানঘ্যান করা
whining,ঘেঙানি
whinnied,মৃদু হ্রেষাধ্বনি করা
whinnies,মৃদু হ্রেষাধ্বনি
whinny,মৃদু হ্রেষাধ্বনি
whinnying,মৃদু হ্রেষাধ্বনি করছে
whiny,ক্রন্দনরত
whip,চাবুক
whip hand,কর্তৃত্বকর
whip up,পিটান
whiplash,কশা
whiplashes,কশা
whipped,বেত্রাঘাত
whipper,যে বেত্রাঘাত করে
whippersnapper,উদ্ধত বালক
whippersnappers,ধৃষ্ট বালক
whippet,শিকারী কুকুরবিশেষ
whippets,বর্ণসঙ্কর কুকুরবিশেষ
whippier,নমনীয়
whippiest,নমনীয়
whipping,চাবকানি
whipping top,লাটিমবিশেষ
whippings,চাবকানি
whippy,চট্পটে
whips,চাবুক
whipsawed,আরও হোল Saw
whir,দ্রুত ঘোরার শব্দ
whirl,বেগে চলা
whirled,আরাম
whirligig,নাগরদোলা
whirligigs,লাটিমবিশেষ
whirling,ঘুরণ
whirling motion,আবর্ত
whirling shape,আবর্ত
whirlings,ঘুরণ
whirlpool,ঘূর্ণাবর্ত
whirlpools,ঘূর্ণিজল
whirls,দ্রুত আবর্তন
whirlwind,ঘূর্ণিবায়ু
whirlwinds,ঘূর্ণিবায়ু
whirly-bird,হেলিকোপটার
whirr,শোঁ শোঁ আত্তয়াজ
whirrs,শোঁ শোঁ আত্তয়াজ
whirs,বোঁ আত্তয়াজ
whisht,চুপ
whisk,ঝাঁটা
whisk away,ঘাঁটা
whisker,জুলপি
whiskered,গোঁফযুক্ত
whiskers,গোঁফ
whiskey,হুইস্কি
whiskeys,হুইস্কি
whiskies,whiskeys
whisks,ঝাঁটা
whisky,হুইস্কি
whisper,ফিস্ ফিস্
whispered,ওয়াসওয়াসা
whispering,কূজন
whisperingly,অস্ফুটকঠে
whisperings,কূজন
whispers,দিচ্ছে
whist,চুপ্
whistle,বাঁশি
whistled,ভোঁ দেত্তয়া
whistler,শিস দেওয়া পাখি
whistles,বাঁশি
whistling,ভোঁ দেত্তয়া
whists,তাসখেলা-বিশেষ
whit,কণা
white,সাদা
white ant,বল্মীক
white elephant,ব্যয় সাপেক্ষ
white hands,সততা
white lie,সৎ উদ্দেশ্যে মিথ্যা বলা
white yellow,পাণ্ডু
white-livered,ভীরু
whiteboard,হোয়াইটবোর্ড
whitecollar,সাদা মণ্ডল
whited,সাদা
whitefish,হোয়াইটফিস
whitefishes,রূপালী মাছ
whitefly,হোয়াইট ফ্লাই
whiten,সাদা করা
whitened,ধবলিত
whiteness,শুভ্রতা
whitenesses,শুভ্রতা
whitening,শুভ্রভবন
whitenings,শুভ্রকরণ
whitens,সাদা করা
whiter,সাদা
whites,সাদা
whitesmith,টিন - নিসি্ত্র
whitesmiths,টিন-নিসি্ত্র
whitest,সে বিবরণের
whitewash,চুনকাম
whitewashed,চুনকাম করা
whitewasher,চুনকাম
whitewashes,দুই উইকেট
whitewashing,আসগর
whitey,সাদাটে
whiteys,ফোন করেছিল
whither,যেথায়
whithersoever,যে কোন স্থানে
whiting,চা - খড়ি চূর্ণ
whitish,সাদাটে
whitlow,আঙ্গুলহাড়া
whitlows,আঙ্গুলহাড়া
whits,কণা
whittle,বড় ছুরিবিশেষ
whittled,ক্রমাগত কাঠ কাটা
whittles,বড় ছুরিবিশেষ
whittling,ক্রমাগত কাঠ কাটা
whity,সাদাটে
whiz,শোঁ শব্দ
whizz,শোঁ শব্দ
whizzed,শোঁ শব্দ করা
whizzer,কম্পোজিট
whizzes,শোঁ শব্দ করা
whizzing,শোঁ শব্দ করা
who,কে
whoa,থাম
whoa!,থাম!
whodunit,রহস্যময় গল্প
whodunits,হুডানইট
whodunnit,গোয়েন্দা কাহিনি
whoever,যে কেহ
whole,সমগ্র
whole-hearted,আন্তরিক
wholeheartedly,মনপ্রাণ
wholeness,অখণ্ডতা
wholenesses,অখণ্ডতা
wholes,অংশসমূহ
wholesale,পাইকারি
wholesale business,থোকে বিক্রয়
wholesaled,নব্বই
wholesaler,পাইকার
wholesalers,পাইকারী
wholesales,পরিবেশক ও পাইকারী বিক্রেতা
wholesaling,পাইকারী
wholesome,পথ্য
wholly,বিলকুল
whom,যাকে
whomever,যাকে
whomsoever,যাহাকে
whoop,উচ্চ চিৎকার করা
whoopee,আনন্দধ্বনিবিশেষ
whooping,হুপিং
whoops,ওহো
whooshing,বিয়ের দেড় বছর পার
whop,পরাস্ত করা
whopped,পরাস্ত করা
whopper,খুব বড় কিছু
whoppers,ডরা মিথ্যা
whopping,খুব বড়
whops,পরাস্ত করা
whore,বেশ্যা
whored,পতিতা
whoredom,বেশ্যাগিরি
whoredoms,বেশ্যাগিরি
whores,বেশ্যা
whoreson,জারজ
whoresons,জারজ
whoring,পতিতা
whorl,পত্রমূলাবর্ত
whorled,পত্রমূলাবর্তবিশিষ্ট
whorls,পত্রমূলাবর্ত
whose,যার
whosesoever,কেননা
whoso,যে কেউ
whosoever,যে কেহ
why,কেন
why and wherefore,কার্য কারণ
whys,কেন
wichita,উইচিতা
wick,পলিতা
wicked,বিদ্বেষপূর্ণ
wicked act,কুকর্ম
wicked person,বিদ্বেষপূর্ণ ব্যক্তি
wickeder,বিদ্বেষপূর্ণ
wickedest,বিদ্বেষপূর্ণ
wickedness,পাপাচার
wickednesses,অসদাচরণ
wickeds,আইসিসি
wicker,চটা
wicker tray,ডালি
wicker-work,কঞ্চি দ্বারা নির্মিত দ্রব্য
wickers,চটা
wickerwork,করণ্ড
wicket,উইকেট
wicketkeeper,উইকেটরক্ষক
wickets,উইকেট
wicks,পলিতা
widdles,সমালোচনা
wide,প্রশস্ত
wide-awake,হুঁশিয়ার
wide-eyed,বিশ্বাসপ্রবণ
wide-open,বিস্ফারিত
wide-ranging,সুদূরপ্রসারী
wideband,ওয়াইডব্যান্ড
widely,ব্যাপকভাবে
widen,বিস্তীর্ণ করা
widened,বিস্ফারিত
widened state,ডবডব
wideness,ব্যাপকতা
widening,প্রসার
widens,বিস্তীর্ণ করা
wider,ব্যাপকতর
wides,থিসারা পেরেরা
widescreen,ওয়াইডস্ক্রিন
widespread,ব্যাপক
widest,ল বিস্তৃত
widgeon,হংসবিশেষ
widgeons,হংসবিশেষ
widget,উইজেট
widgets,উইজেট
widish,চওড়াগোছের
widow,বিধবা
widow's weed,বিধবার বেশ
widowed,পতিহীনা
widower,বিপত্নীক
widowers,অন ​​থাকে
widowhood,বৈধব্য
widowhoods,বৈধব্য
widowing,বিধবা করা
widows,বিধবা
width,প্রস্থ
widths,প্রশস্ততা
widthways,বহরের দিকে
widthwise,বহরের দিকে
wiegh anchor,নোঙর তোলা
wiel,চাকা
wield,চালনা করা
wield a pen,কলম চালান
wielded,চালিত
wielders,কি কারও মনে
wielding,শাসন করা
wields,শাসন করা
wiener,উইনার
wife,স্ত্রী
wifed,স্ত্রী
wifehood,পত্নীত্ব
wifehoods,পত্নীত্ব
wifeless,স্ত্রীহীন
wifelike,পত্নীবত
wifely,পত্নীসুলভ
wifes,বউ
wifing,স্ত্রী
wig,পরচুলা
wigged,পরচুলা - পরা
wiggeries,কৃত্রিম চুল
wiggery,কৃত্রিম চুল
wiggle,আন্দোলিত করা
wiggled,আন্দোলিত করা
wiggles,আন্দোলিত করা
wiggling,আন্দোলিত করা
wight,ব্যক্তি
wights,ব্যক্তি
wigs,পরচুলা
wigwam,রেড ইণ্ডিয়ান জাতির কুটীর বা তাঁবু
wikimedia,উইকিমিডিয়া
wikipedia,উইকিপিডিয়া
wild,বন্য
wild buffalo,বুনো মোষ
wild goose chase,পণ্ডশ্রম
wildcard,ওয়াইল্ডকার্ড
wildcards,ওয়াইল্ডকার্ড
wildcat,বনবিড়াল
wildcats,বনবিড়াল
wildebeest,নু - হরিণ
wildebeests,নু-হরিণ
wilder,বন্য
wilderness,উপবন
wildest,বন্য
wildfire,আলেয়া
wildfires,দাবানল
wildfowl,বনকুক্কুট
wildfowls,বনকুক্কুট
wilding,বন্য
wildlife,বন্যপ্রাণী
wildly,দুর্দান্তভাবে
wildmoor,বনের ভিতরের মাঠ
wildness,অসভ্যতা
wilds,বহু দূরে
wildwood,অকর্ষিত
wile,ছলনা
wiled,প্রতারিত করা
wileful,ছলনাময়
wiles,ফুসলান
wilful,ইচ্ছাকৃত
wilfully,যথেচ্ছভাবে
wilfulness,স্বেচ্ছাচারিতা
wilier,ছলনাময়
wiliest,ছলনাময়
wiliness,ছল
wilinesses,ছল
wiling,প্রতারিত করা
will,অভিলাষ
will-o'-the-wisp,উল্কামুখী
will-power,মনের জোর
willed,উদ্দাম
willer,অভিলাষ
willets,বরিশাল
willful,ইচ্ছাকৃত
willfully,যথেচ্ছভাবে
willfulness,স্বেচ্ছাচারিতা
william,উইলিয়াম
williams,উইলিয়ামস
willie,উইলি
willing,ইচ্ছুক
willinger,উইলিঙ্গার
willingest,ইচ্ছুক
willingly,স্বেচ্ছায়
willingness,সম্মতি
willingnesses,সম্মতি
willings,ইচ্ছুক
willow,বৃক্ষবিশেষ
willowier,সরু
willowiest,সরু
willows,ক্রিকেট খেলার ব্যাট
willowy,সরু
willpower,ইচ্ছাশক্তি
wills,ইচ্ছা
willy-nilly,বাধ্যতামূলকভাবে
willynilly,বাধ্যতামূলকভাবে
wilt,তাজা ভাব হারান
wilted,তাজা ভাব হারান
wilting,তাজা ভাব হারান
wilts,তাজা ভাব হারান
wily,কূটবুদ্ধি
wimble,তুরপুন
wimbledon,উইম্বলেডন
wimple,সন্ন্যাসিনীর ঘোমটাবিশেষ
win,জয়
win out,উত্তীর্ণ হত্তয়া
win over,মজান
win the day,জয়লাভ করা
win the field,জয়লাভ করা
win the laurels,জয়ী হওয়া
win through,উত্তীর্ণ হত্তয়া
wince,সঙ্কুচিত হত্তয়া
winced,সাক্ষীও
winces,সঙ্কুচিত হত্তয়া
winch,শক্তিশালী কপিকলবিশেষ
winches,কেবিনও
winchester,রাইফেল্বিশেষ
winchesters,বাসায়
wincing,সঙ্কুচিত হত্তয়া
wind,বায়ু
wind down,আলগা করা
wind flower,বায়ুপরাগী পুষ্পবিশেষ
wind up,গোটান
wind-gauge,বায়ুমান যন্ত্র
wind-up,শেষ
windbag,ফুসফুস
windbags,ফুসফুস
windbreak,গাছের সারি
windbreaker,বায়ুঊর্মিভঙ্গ
windbreaks,গাছের সারি
winded,বিরক্তিকর
winder,সুষির যন্ত্রবাদক
winders,বংশীপ্রভৃতি যন্ত্রবাদক
windfall,দৈবধন
windfalls,দৈবধন
windier,ঝড়ো
windiest,ঝড়ো
windiness,অন্তঃসারশূন্যতা
winding,ঘুর
winding up,গোটানো
